percentage,(All),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,
Values,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Grand Total,
Average of SAA,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,
Average of Mean Bid,0.709224409,1.789556065,1.758020467,1.76052819,1.741601601,1.737926446,1.692325278,1.692848554,1.678545474,1.659023146,1.655077599,1.659470562,1.664789488,1.650905755,1.632131645,
Average of FDRR,0.70870794,0.716573753,0.726726455,0.745378186,0.766059226,0.792148044,0.821188681,0.856405181,0.891122173,0.925743771,0.956342689,0.995661072,1.035381898,1.273792031,0.872230793,
Average of RF,0.745353715,0.744766871,0.758005115,0.780307987,0.814067783,0.857968124,0.924875455,1.014733412,1.131953437,1.269223436,1.418105939,1.522122873,1.643713078,1.71672852,1.095851839,
Average of Feature Driven,0.711594764,1.791176973,1.757541161,1.76453115,1.746431992,1.749946229,1.703782218,1.698583396,1.688229244,1.662298201,1.656060473,1.661019474,1.666292008,1.652504057,1.636427953,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Values,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Average,
Average of SAA,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,2.333018659,
Average of Mean Bid,0.709224409,1.789556065,1.758020467,1.76052819,1.741601601,1.737926446,1.692325278,1.692848554,1.678545474,1.659023146,1.655077599,1.659470562,1.664789488,1.650905755,1.632131645,
Average of FDRR,0.70870794,0.716573753,0.726726455,0.745378186,0.766059226,0.792148044,0.821188681,0.856405181,0.891122173,0.925743771,0.956342689,0.995661072,1.035381898,1.273792031,0.872230793,
Average of RF,0.745353715,0.744766871,0.758005115,0.780307987,0.814067783,0.857968124,0.924875455,1.014733412,1.131953437,1.269223436,1.418105939,1.522122873,1.643713078,1.71672852,1.095851839,1.256378298
Average of Feature Driven,0.711594764,1.791176973,1.757541161,1.76453115,1.746431992,1.749946229,1.703782218,1.698583396,1.688229244,1.662298201,1.656060473,1.661019474,1.666292008,1.652504057,1.636427953,
,0.950834383,0.962145043,0.958735555,0.955235879,0.94102634,0.92328377,0.887891096,0.843970614,0.787242782,0.729378094,0.674380286,0.654126608,0.629904277,0.741988041,0.795938613,
,,,,,,,0.732116164,,,,,,,,,
