percentage,1,,,,,,,,
,,,,,,,,,
,Column Labels,,,,,,,,
Values,0,1,2,3,4,5,6,Grand Total,Average 
Average of BASE-retrain,0.731728407,0.733075157,0.733448723,0.736814582,0.743430754,0.78683708,2.356257318,0.974513146,#NAME?
Average of RF,0.787115713,0.835598142,1.007443915,1.446943061,2.277399037,3.171044871,3.799361731,1.903558067,
Average of FDRR,0.73050155,0.74360205,0.773762985,0.808063766,0.83269615,0.863156198,2.347736035,1.014216962,
Average of Feature Driven,0.73050155,4.059630362,3.901040298,3.738849571,3.698582079,3.698582079,3.698582079,3.360824003,
Average of Mean Bid,0.727343453,4.059630362,3.901040298,3.784464897,3.698582079,3.698582079,3.698582079,3.366889321,
Average of SAA,2.328357812,2.328357812,2.328357812,2.328357812,2.328357812,2.328357812,2.328357812,2.328357812,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Values,0,1,2,3,4,5,6,AVERAGE,
Average of BASE-retrain,0.731728407,0.733075157,0.733448723,0.736814582,0.743430754,0.78683708,2.356257318,1.136932003,0.960852739
Average of RF,0.787115713,0.835598142,1.007443915,1.446943061,2.277399037,3.171044871,3.799361731,2.220817745,
Average of FDRR,0.73050155,0.74360205,0.773762985,0.808063766,0.83269615,0.863156198,2.347736035,1.183253122,
Average of Feature Driven,0.73050155,4.059630362,3.901040298,3.738849571,3.698582079,3.698582079,3.698582079,3.920961336,
Average of Mean Bid,0.727343453,4.059630362,3.901040298,3.784464897,3.698582079,3.698582079,3.698582079,3.928037541,
Average of SAA,2.328357812,2.328357812,2.328357812,2.328357812,2.328357812,2.328357812,2.328357812,2.716417448,
